 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-6-23;"88,210"
2-6-23;"63,580"
3-6-23;"95,465"
4-6-23;"92,941"
5-6-23;"92,062"
6-6-23;"92,633"
7-6-23;"73,403"
8-6-23;"87,128"
9-6-23;"87,944"
10-6-23;"88,104"
11-6-23;"86,806"
12-6-23;"85,608"
13-6-23;"91,717"
14-6-23;"92,468"
15-6-23;"81,300"
16-6-23;"89,336"
17-6-23;"76,698"
18-6-23;"33,070"
19-6-23;"70,563"
20-6-23;"55,141"
21-6-23;"87,481"
22-6-23;"24,211"
23-6-23;"84,114"
24-6-23;"93,108"
25-6-23;"92,618"
26-6-23;"84,599"
27-6-23;"69,741"
28-6-23;"33,872"
29-6-23;"43,495"
30-6-23;"67,242"
